dt,register_dt,user_id,user_grade,playmode_cycle,playmode_type,playmode_cnt,sum_play_seconds
2023-05-13,2023-05-13,20762e27d8e949388ec68de3772d4b62,Unknown,0,1,1,152.0
2023-05-13,2023-05-13,c7a585ca4178453c8d208bb2bd9412b5,Unknown,0,1,1,339.0
2023-05-13,2023-05-13,86449db7037a4e35bc98a7b71ec90189,Unknown,0,1,1,380.0
2023-05-13,2023-05-13,bfa4c4ed4b3c48a58fd38d932578d862,Unknown,0,1,1,167.0
2023-05-13,2023-05-13,165711ac5de74f25a06af7459e1bc8c7,Unknown,0,1,1,72.0
2023-05-13,2023-05-13,6cd18de51ba94f9684c56bc1f50040a0,Unknown,0,1,1,195.0
2023-05-13,2023-05-13,975fdffad39f4f08a06c0257b4de3ac6,Unknown,0,1,1,309.0
2023-05-13,2023-05-13,a5820471167f4744b3580bd5925e271a,Unknown,0,1,1,203.0
2023-05-13,2023-05-13,2f87ea1e6dc245e88cc0f1ca1a8d6ed1,Unknown,0,1,1,204.0
2023-05-13,2023-05-13,c6076e70f5e64bd681276bfc73705af3,Unknown,0,1,1,278.0
2023-05-13,2023-05-13,e7b88f7a345a4ef5ac99967bc3f86f59,Unknown,0,1,1,196.0
2023-05-13,2023-05-13,651b5630a84a424d9da20243885b1022,Unknown,0,1,1,203.0
2023-05-13,2023-05-13,4273f9c9b1cc4c76a0cf5bfc1392130c,Unknown,0,1,1,356.0
2023-05-13,2023-05-13,5ac189cbc2cc4c66acf994a84d31cf40,Unknown,0,1,1,206.0
2023-05-13,2023-05-13,3b3181fadafd4343ae1e9c5ffcc2fa09,Unknown,0,1,1,190.0
2023-05-13,2023-05-13,2a6fd5634b144952a8779f0b288166bc,Unknown,0,1,1,324.0
2023-05-13,2023-05-13,c9680217563d4671a586f8ca42e27e76,Unknown,0,1,1,328.0
2023-05-13,2023-05-13,ed56224a12ce4670b5900e02df6c3b45,Unknown,0,1,1,256.0
2023-05-13,2023-05-13,87f9f4cb6e3e43ca957f3d266393f144,Unknown,0,1,1,334.0
2023-05-13,2023-05-13,8013600822c04d9b991f15ee80fca099,Unknown,0,1,1,298.0
2023-05-13,2023-05-13,55505110ddaa47318b54f6389866adbc,Unknown,0,1,1,282.0
2023-05-13,2023-05-13,c197c3ac9155453c8764b173515d5922,Unknown,0,1,1,227.0
2023-05-13,2023-05-13,633fced402ac464ca962bf7f40f1fc99,Unknown,0,1,1,215.0
2023-05-13,2023-05-13,5c17f654475c4379b7970d7d68ee77bc,Unknown,0,1,1,295.0
2023-05-13,2023-05-13,11c4ed0f824a499e9990d3b64c866480,Unknown,0,1,1,157.0
2023-05-13,2023-05-13,1b8f5c6826e340a08b1ff9635a2c7ad1,Unknown,0,1,1,224.0
2023-05-13,2023-05-13,fc88253623864491bbcfc2cf69d5aa20,Unknown,0,1,1,207.0
2023-05-13,2023-05-13,019d84a8d1e94026ae3e24be8b7225e0,Unknown,0,1,1,220.0
2023-05-13,2023-05-13,6b1cfb7b807e4cc0ba3b95fbbd4f88e8,Unknown,0,1,1,300.0
2023-05-13,2023-05-13,9216206720c94bd3be84207987b70f28,Unknown,0,1,1,123.0
2023-05-13,2023-05-13,8afceede681f42f98b1073d7b9eadf51,Unknown,0,1,1,266.0
2023-05-13,2023-05-13,ff1455ab99ad4ef3a75843967cd6745b,Unknown,0,1,1,230.0
2023-05-13,2023-05-13,84d58d37e0d24922bd95c56e8814d34f,Unknown,0,1,1,450.0
2023-05-13,2023-05-13,d624e09b9b83464ca18f01e1084ac3b7,Unknown,0,1,1,384.0
2023-05-13,2023-05-13,a548f87f3c684a948d4c49f5fd502e1b,Unknown,0,1,1,178.0
2023-05-13,2023-05-13,8380657061b044028227d25f66224ada,Unknown,0,1,1,389.0
2023-05-13,2023-05-13,0b78b50cab444f6d9b613722cedaa50c,Unknown,0,1,1,344.0
2023-05-13,2023-05-13,456c0c06edfc4009ba9863de552ca669,Unknown,0,1,1,369.0
2023-05-13,2023-05-13,a71677ab31214b0bbcb05e25efb2a321,Unknown,0,1,1,206.0
2023-05-13,2023-05-13,2135fb77bae64a82a4d9431555498779,Unknown,0,1,1,363.0
2023-05-13,2023-05-13,e0c409facc574f62bc804f7b1732752d,Unknown,0,1,1,236.0
2023-05-13,2023-05-13,584e351c1c4249bfa52971684fb9602b,Unknown,0,1,1,241.0
2023-05-13,2023-05-13,f52a768ec38f46209ea62404681a8484,Unknown,0,1,1,129.0
2023-05-13,2023-05-13,4e8bf3f5ae884eae8b481de7e1a681a5,Unknown,0,1,1,307.0
2023-05-13,2023-05-13,6fde71b8287e4541aefc5578ed1b8a87,Unknown,0,1,1,351.0
2023-05-13,2023-05-13,8aacbe95db2b4a769dd19abc8f5e148e,Unknown,0,1,1,325.0
2023-05-13,2023-05-13,25f212bbda7b43bea4ae345887333d17,Unknown,0,1,1,298.0
2023-05-13,2023-05-13,5324c9c367a5491ea3df8ea45c4ead44,Unknown,0,1,1,270.0
2023-05-13,2023-05-13,db9d76e279d6421681e79725d7007685,Unknown,0,1,1,204.0
2023-05-13,2023-05-13,e86e2e0bd0dd4dc881cc82297aec7922,Unknown,0,1,1,284.0
2023-05-13,2023-05-13,0dea5ad0ec5c4bc1836133e3cde96c24,Unknown,0,1,1,82.0
2023-05-13,2023-05-13,184fc99162204ecb9f279b2b9870d258,Unknown,0,1,1,334.0
2023-05-13,2023-05-13,47bad9f8cb334d489dfbb391a2266767,Unknown,0,1,1,143.0
2023-05-13,2023-05-13,df7adea1526a4cfe9efa1c7e14942f42,Unknown,0,1,1,210.0
2023-05-13,2023-05-13,425ba32e66f9435cb9606a6e74d5b633,Unknown,0,1,1,338.0
2023-05-13,2023-05-13,5084157557234f11846ccc2f67cdd7ca,Unknown,0,1,1,200.0
2023-05-13,2023-05-13,d60318d7ea524b1fb050c5e7dab8facd,Unknown,0,1,1,309.0
2023-05-13,2023-05-13,ed85bdcaadb84ea6affdeab89a4785b5,Unknown,0,1,1,107.0
2023-05-13,2023-05-13,074cfe9f718241189c8c724fa6336c1c,Unknown,0,1,1,352.0
2023-05-13,2023-05-13,aa03d1d9aed14d57a778b23fb5c69061,Unknown,0,1,1,300.0
2023-05-13,2023-05-13,52f5f78d7b674a2096c5cc5d707f0629,Unknown,0,1,1,381.0
2023-05-13,2023-05-13,f7ecc9143ec9443b9047f9e8d09392e2,Unknown,0,1,1,325.0
2023-05-13,2023-05-13,51488528d86f42a8b25eeb1c2de69424,Unknown,0,1,1,337.0
2023-05-13,2023-05-13,8e986aa874114339ba2ecc6919ec9069,Unknown,0,1,1,211.0
2023-05-13,2023-05-13,3176e2c384e046c2810997ddb8c39613,Unknown,0,1,1,221.0
2023-05-13,2023-05-13,7f07a44843e94c6ba3607416edb90466,Unknown,0,1,1,341.0
2023-05-13,2023-05-13,d59bd1c01ef34dfb825612d128162c2d,Unknown,0,1,1,248.0
2023-05-13,2023-05-13,e25e886cee8349d98d07821c6500dcde,Unknown,0,1,1,373.0
2023-05-13,2023-05-13,0f02322a81474ac086330bd3f9d2750f,Unknown,0,1,1,280.0
2023-05-13,2023-05-13,8fa72614ab564016bd240dbe52bb511e,Unknown,0,1,1,348.0
2023-05-13,2023-05-13,530c9413e01d49b8a53814f825a8a440,Unknown,0,1,1,190.0
2023-05-13,2023-05-13,9859bbc2845147d0a6d8de4629fb0efa,Unknown,0,1,1,205.0
2023-05-13,2023-05-13,235a6e3062104edd88c0ed2e3a9ca807,Unknown,0,1,1,380.0
2023-05-13,2023-05-13,c825185cde124a6f960037927913b895,Unknown,0,1,1,198.0
2023-05-13,2023-05-13,428c29e5f90549a1bc51683f78b19a72,Unknown,0,1,1,317.0
2023-05-13,2023-05-13,43019266e42e45bb958310bb80cb966f,Unknown,0,1,2,385.0
2023-05-13,2023-05-13,8b3156fe709f4da5888deae981df7a64,Unknown,0,1,2,626.0
2023-05-13,2023-05-13,290ad01c71af4dbda5998bbd5bfc55c8,Unknown,0,1,2,560.0
2023-05-13,2023-05-13,dfec520417184f8389f73ad714aa9bb8,Unknown,0,1,2,711.0
2023-05-13,2023-05-13,2dc9a788e580453085d3b136f5500d70,Unknown,0,1,2,427.0
2023-05-13,2023-05-13,5d473305b821402088a40709cd4ac133,Unknown,0,1,2,504.0
2023-05-13,2023-05-13,cffee643caef4e5f87e7194436fc827a,Unknown,0,1,2,487.0
2023-05-13,2023-05-13,45c803d336434e919909098bd8bb17c0,Unknown,0,1,2,483.0
2023-05-13,2023-05-13,a6a36ea8daae4e3cb90031cbbe88bb26,Unknown,0,1,2,515.0
2023-05-13,2023-05-13,0e98b50be7fc4d99abb2456c20c569ea,Unknown,0,1,2,539.0
2023-05-13,2023-05-13,356baaa8c2df49fbbbc765a95df0063c,Unknown,0,1,2,530.0
2023-05-13,2023-05-13,3c9379f53da84074885dca7904287186,Unknown,0,1,2,456.0
2023-05-13,2023-05-13,f22e3bba7c2e4f299d33339d10dc9933,Unknown,0,1,2,436.0
2023-05-13,2023-05-13,b887f6cd2def49b4bcfaee42de230df4,Unknown,0,1,2,550.0
2023-05-13,2023-05-13,2864ba9d164940108d4e3ac57a57bca2,Unknown,0,1,2,606.0
2023-05-13,2023-05-13,5e216533170646c0be58c76076e28ddc,Unknown,0,1,2,517.0
2023-05-13,2023-05-13,f4906f9607634fc19d5f7b8694d2d285,Unknown,0,1,2,527.0
2023-05-13,2023-05-13,87d1162128ba4c90acf5e9390d8ead7d,Unknown,0,1,2,619.0
2023-05-13,2023-05-13,ddc09aff53ea41eca63c1287250019c4,Unknown,0,1,2,362.0
2023-05-13,2023-05-13,12cdb6d2a90541509310bdb94ce1824c,Unknown,0,1,2,454.0
